Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Auth_Books,Auth_Followers
"Classics,Literature,Novels,American,Erotica,The,United,States,Of,America,Literary,Fiction,...more",1939-02-01,Henry Miller,Tropic of Capricorn,3.81,20391.0,887.0,736.0,4863.0
"History,Nonfiction,Biography,Memoir,Religion,Spirituality,Philosophy,...more",1932-01-01,John G. Neihardt,Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux,4.12,17695.0,986.0,96.0,45.0
"Fiction,Jewish,Classics,Historical Fiction,Judaism,Religion,Literature,...more",1969-01-01,Chaim Potok,The Promise,4.18,13799.0,770.0,54.0,1667.0
"Historical Fiction,Fiction,Historical Classics,Romance,Novels,Historical Romance,...more",1972-01-01,Taylor Caldwell,Captains and the Kings: The Story of an American Dynasty,4.14,19341.0,442.0,142.0,501.0
"Plays,Drama,Fiction,Classics,Theatre,Historical Fiction,School,...more",1993-01-01,Tom Stoppard,Arcadia,4.14,23251.0,1274.0,121.0,966.0
"Feminism,Nonfiction,Sociology,Psychology,Womens,Gender,Gender,Studies,...more",1990-01-01,Naomi Wolf,The Beauty Myth,3.91,29152.0,2101.0,44.0,1410.0
"Historical Fiction,Fiction,Romance,Historical Classics,Medieval,British,Literature,...more",1954-01-01,Anya Seton,Katherine,4.2,34012.0,2340.0,45.0,860.0
"Fiction,France,Classics,French,Literature,Literature,Novels20th,Century,...more",1938-01-01,Louis-Ferdinand Céline,Death on the Installment Plan,4.21,8563.0,662.0,157.0,2419.0
"Fiction,Classics,Ireland,Irish,Literature,Novels,Humor,Literature,...more",1939-03-13,Flann O'Brien,At Swim-Two-Birds,3.86,13576.0,1166.0,49.0,765.0
"Self,Help,Nonfiction,Psychology,Spirituality,Reference,Health,Religion,...more",1939-04-10,Alcoholics Anonymous,Alcoholics Anonymous,4.49,10938.0,622.0,154.0,219.0
"Fiction,Mystery,Classics,Noir,Crime,Novels,Thriller,...more",1987-01-01,Dashiell Hammett,"The Maltese Falcon, The Thin Man, Red Harvest",4.31,1950.0,87.0,530.0,2518.0
"Fiction,Classics,Russia,Russian,Literature,Literature,Historical Fiction,Novels,...more",1967-01-01,Aleksandr Solzhenitsyn,Cancer Ward,4.25,16909.0,992.0,444.0,3706.0
"Economics,Politics,Philosophy,Nonfiction,History,Classics,Political,Science,...more",1944-09-18,Friedrich A. Hayek,The Road to Serfdom,4.16,24064.0,1741.0,226.0,1533.0
"Historical Fiction,Fiction,Mythology,Historical Fantasy,Classics,Greek,Mythology,...more",1958-01-01,Mary Renault,The King Must Die,3.98,9589.0,839.0,30.0,1510.0
"Fiction,Classics,Literature,Novels,Short,Stories20th,Century,British,Literature,...more",1999-01-01,Muriel Spark,The Prime of Miss Jean Brodie / The Girls of Slender Means / The Driver's Seat / The Only Problem,3.8,1683.0,125.0,197.0,1138.0
"Fantasy,Science,Fiction,Fiction,Science,Fiction,Fantasy,Novels,Literature,Speculative,Fiction,...more",1983-01-01,Gene Wolfe,The Book of the New Sun,4.22,4301.0,240.0,513.0,3239.0
"Fiction,Classics,American,Literature,Novels,Literary,Fiction20th,Century,...more",1971-01-01,John Updike,Rabbit Redux,3.81,15891.0,915.0,793.0,2283.0
"Science,Philosophy,Nonfiction,History,Sociology,History,Of,Science,Classics,...more",1962-01-01,Thomas S. Kuhn,The Structure of Scientific Revolutions,4.03,27736.0,1659.0,40.0,602.0
"Historical Fiction,Fiction,Japan,Asia,Historical Asian,Literature,China,...more",1995-03-01,Gail Tsukiyama,The Samurai's Garden,4.15,26629.0,2602.0,14.0,1379.0
"Historical Fiction,Fiction,Historical American,History,Classics,Novels,Adventure,...more",1978-01-01,James A. Michener,Chesapeake,4.21,26055.0,1085.0,475.0,3162.0
"Philosophy,Nonfiction,Spirituality,Religion,Taoism,Self,Help,Psychology,...more",1992-01-01,Benjamin Hoff,The Tao of Pooh and The Te of Piglet,4.13,13486.0,627.0,16.0,528.0
