Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Auth_Books,Auth_Followers
"Travel,Nonfiction,Memoir,Adventure,Biography,History,Biography,Memoir,more",1982-01-01,William Least Heat Moon,Blue Highways,4.03,24322,1463,26.0,395.0
"Fiction,Historical Fiction,Classics,Literature,Historical Novels,Scandinavian,Literature,more",1925-01-01,R lvaag,Giants the Earth,4.03,5862,631,20.0,45.0
"Historical Fiction,Fiction,Historical Westerns,Novels,American,History,Epic,more",1985-01-01,James Michener,Texas,4.1,18694,544,475.0,3162.0
"Fiction,Science,Fiction,Fantasy,Humor,Philosophy,Conspiracy,Theories,Novels,more",1983-12-01,Robert Shea,The Illuminatus Trilogy,4.01,15795,925,59.0,160.0
"Nonfiction,Science,History,Memoir,Biography,Short,Stories,Italian,Literature,more",1975-04-12,Primo Levi,The Periodic Table,4.15,17495,1373,168.0,2010.0
"Fiction,Classics,Novels,Contemporary,Literature,Literary,Fiction,British,Literature,more",1984-01-01,Martin Amis,Money,3.69,24009,1436,84.0,2841.0
"Fiction,Nature,Environment,Classics,Humor,Politics,Novels,more",1975-08-01,Edward Abbey,The Monkey Wrench Gang,4.08,26971,1873,63.0,1810.0
"Poetry,Classics,Literature,Fictionth,Century,British,Literature,Anthologies,more",1976-01-01,Auden,Collected Poems,4.27,6032,95,591.0,1002.0
"History,Biography,Nonfiction,Politics,New,York,Business,American,History,more",1974-09-16,Robert Caro,The Power Broker Robert Moses and the Fall New York,4.48,22723,2632,32.0,2513.0
"Historical Fiction,Fiction,Civil,War,Historical Politics,American,History,Literature,more",1984-01-01,Gore Vidal,Lincoln,4.24,9501,620,291.0,1764.0
"Classics,Fiction,Childrens,Animals,Fantasy,Young,Adult,Nature,more",1922-12-01,Felix Salten,Bambi Life the Woods,4.12,36608,1253,194.0,101.0
"Mystery,Fiction,Classics,Crime,Mystery,Thriller,British,Literature,Detective,more",1935-01-01,Dorothy Sayers,Gaudy Night,4.2,30111,2457,669.0,2752.0
"Historical Fiction,Fiction,Politics,American,History,Historical Novels,American,more",1973-11-01,Gore Vidal,Burr,4.08,10219,833,291.0,1764.0
"Fiction,Classics,Literary,Fiction,Literature,Novels,British,Literatureth,Century,more",1978-01-01,Iris Murdoch,The Sea the Sea,3.95,22548,2189,110.0,2260.0
"Historical Fiction,Fiction,Historical Ancient,History,Egypt,Ancient,Fantasy,more",1983-01-01,Janet Morris,the Sun,4.21,447,81,97.0,348.0
"Nonfiction,History,Philosophy,Politics,Theory,Sociology,Anthropology,more",1978-01-01,Edward Said,Orientalism,4.12,26203,1715,196.0,3725.0
"Historical Fiction,Fiction,Historical British,Literature,Novels,Travel,Unfinished,more",1997-01-01,Edward Rutherfurd,London,4.09,32304,1984,36.0,5201.0
"Fiction,Classics,German,Literature,Germany,Literature,Novelsth,Century,more",1929-10-01,Alfred D blin,Berlin Alexanderplatz,3.84,10082,845,184.0,208.0
"Fiction,War,Historical Fiction,Classics,Literature,Novels,Historical,more",1978-01-01,Tim Brien,Going After Cacciato,3.9,14047,941,118.0,2991.0
"Memoir,Nonfiction,Feminism,Classics,China,Biography,School,more",1976-08-12,Maxine Hong Kingston,The Woman Warrior,3.73,32241,2183,46.0,617.0
"Nonfiction,Classics,Memoir,Biography,Biography,Memoir,Death,School,more",1949-01-01,John Gunther,Death Not Proud,3.86,12517,780,93.0,410.0
"History,Nonfiction,Biography,Classics,War,Memoir,Philosophy,more",1926-01-01,Lawrence,Seven Pillars Wisdom Triumph,3.9,11266,923,269.0,343.0
